title,price,type,comment_num,shop,label,img_link,detail_link
荣耀X50 8GB+256GB 雨后初晴 SGS整机五星抗跌耐摔认证 5800mAh超耐久长续航 第一代骁龙6移动平台 一亿像素大底主摄 120Hz智能高刷 5G手机SGS整机五星抗跌耐摔认证 5800mAh超耐久长续航 第一代骁龙6移动平台,¥1399.00, 8GB |256GB |6.78英寸,7200+评价,苏宁自营,"百亿补贴, ,以旧换新, ,领券1500-120",http://imgservice4.suning.cn/uimg1/b2c/image/Z7MaMcRuqi4VvN3sMtGM2Q.jpg_400w_400h_4e,http://product.suning.com/0000000000/12414697546.html
小米 Redmi 13C 5G 天玑 6100+ 性能芯 5000万超清双摄 5000mAh长续航 6GB+128GB 星岩黑 智能手机 小米红米官方自营 售后无忧,¥669.00, 6GB |128GB |6.71英寸,700+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券500-25",http://imgservice3.suning.cn/uimg1/b2c/image/3rnPVhXxUP-CeqITd4OFaA.png_400w_400h_4e,http://product.suning.com/0000000000/12426259084.html
iQOO Neo9S Pro+ 星曜白 16GB+1TB 三代骁龙8 自研电竞芯片Q1双芯 5500毫安大电池 120W充电器手机,¥3869.00,,60+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券3799-10, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/rnVOBMES4LnW5iK7MuEZtQ.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107684381510000000620241016&cmdCode=12433738777&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTJBrl%2fmy3v98iPqXRkhsBwNTH%2b9DNSa1Jyq7A8WCCPMsoTDoAqMb7Mc7q1iGhTaQzLg4jyZaDuL9wa%2bcJL4VYvQ5MHGcoBTDhXri%2bizR0P0qBOmYPgNuBrQPU7qfXXzWkL%2f8ewn4zZg22mYdgqOYVW6RwcRutDGV0ryb369gxkb%2fEqNesyb69VZKccr%2b8UhZ%2fCS%2ftVFnOdjrWgTIywGVP2LLJ6nPPY3DZttKQjk8Ei%2bSJbBu3d%2b3TQH5%2bCffZpnuFBGTnwyMz7IjCYkYEtIHTgMZfPbA7X9lgnA%2fDTCVan1tfPgVw7glfLk6ouKeVURNu44oSzorI2wMii7cqa1z3KoYTm%2fqunZFThx92XPMIlzh8cwE%2fbF4N2bImkHr1ZJhjmGh1DY1IGZ2eK0vghxUGda8A6ArHN9T0%2bXm441%2f%2b5TXL6PT%2b%2foM8TC3PwuRNDCN5zSsQA2bM2A%2fC3BvUmQaeZclGu0vRNjbeRe9een9ZfXZBvLp%2fl5hWnnDp7WXqLCa8LAejn%2f76Gf1HZjcf3vOYgxL%2bqTFS3Od64mic1V6%2fmAWX9iNJWni58M7uAXpQuvWBY%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12433738777.html&click_id=H2YaVN20BrumBUhO1000000000Q5EMubNYQ3WOLg8
iQOO Z9 Turbo+ 星光白 12GB+256GB 全网通5G新品手机天玑9300+旗舰芯片5000万像素144Hz高刷80W闪充6400mAh大电池拍照游戏学生性能手机天玑9300+|5000万像素|6400mAh超薄蓝海电池,¥2299.00, 12GB |256GB |6.78英寸,,苏宁自营,"超级新品, ,大聚惠, ,以旧换新, ,领券1500-120",http://imgservice5.suning.cn/uimg1/b2c/image/mz0rOtEy03FNA5VBET6leA.png_400w_400h_4e,http://product.suning.com/0000000000/12436150062.html
小米(mi)MIX Fold 4 16GB+512GB 龙鳞纤维版 小米龙骨转轴2.0 徕卡光学全焦段四摄 5G全网通 AI折叠手机 小米汽车互联超轻薄四曲面机身|小米龙骨转轴2.0|全碳纤维支撑架构|徕卡光学全明星四摄|第三代骁龙8,¥9999.00, 16GB |512GB |7.98英寸,0评价,聚三友手机数码专营店,以旧换新,http://imgservice1.suning.cn/uimg1/b2c/image/kvKs9T4C5Rkcsqjim_wBxg.png_400w_400h_4e,http://product.suning.com/0071593536/12435374165.html
"Redmi Turbo 3 青刃12GB+256GB 第三代骁龙8s、疯狂引擎3.0、冰封散热三位一体性能架构,重塑性能格局5g手机【新品首发】第三代骁龙8s、疯狂引擎3.0、冰封散热三位一体",¥1629.00, 12GB |256GB |6.67英寸,100+评价,苏宁自营,"大聚惠, ,以旧换新, ,3期免息, ,领券880-50",http://imgservice2.suning.cn/uimg1/b2c/image/Q9BBPIb_e0DoAQ5XFAnjxQ.jpg_400w_400h_4e,http://product.suning.com/0000000000/12430710603.html
华为nova12 Pro 12号色 256GB 双向北斗卫星消息 100W快充 120Hz刷新率 前置6000万超广角拍照 华为手机,¥3199.00,,100+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券1699-6, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/HCR8X8ePrmDhZon-9__mZA.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107662329810000000620241016&cmdCode=12426085825&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTKTFXkl%2bPg70acSqPfZZ5LrrKsCt8%2f780M8vJwYLHWPQBWQbPakQrv0Sw1ofOUGNruNU%2bMqBBA72S03b4FqR81aUgz3zqLfySphjWd1Hcf5570Nb89%2bXkbBUvghz%2bNKqjLgtPwDmk2REpbeNh9VG%2bG2s3hj63qtnly3s7hgdrS5TPtu9nEFnpJyjWzrxt0mqPKxPnqsezwmppSoOR%2fyjd344e4ivB8uebk7dv%2bdC6vTdMtItDVbNF4vnQeWoERX6PxSiCIBA3ylEyyiSIZLcl%2bNI9bZl2lxzwu%2fsAuS3r0f%2fbeMF62rb5v3u6DFQbgWIbWsWeUZmxGHNO5FDiZQ61qFUjEbYHFwjG%2bZjrlxNJQbQjBtFxuVSa0LhqNDgfqkJS67YNUj7tMIVpMuahZ2riIQrPBshbGCIWjnkdHCPdIB5huVa7HXcwA7Gbx7R8w8ppJN9QMibHdqxWSEMKtE7jAScjPkiTCCr6GSDKue64cyvKcAj%2bsHqWrHZPbybkxiwQFE%2fPYiQjEXECEL%2fiaib%2b0RD3NjpPAE5zbRk2ENfYV4Yn%2fmonl78d9XN9V2AKaV0BU%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12426085825.html&click_id=H2YaVN20BrumBikM1000000000qkIbSWNbE7kYEg8
小米 Redmi 13C 5G 天玑 6100+ 性能芯 5000万超清双摄 5000mAh长续航 8GB+256GB 星岩黑 智能手机 小米红米官方自营 售后无忧,¥909.00, 8GB |256GB |6.74英寸,700+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券500-25",http://imgservice3.suning.cn/uimg1/b2c/image/OeqpGSYzTsE9RQJaSrGVXg.png_400w_400h_4e,http://product.suning.com/0000000000/12426259089.html
OPPO K12x 12GB+256GB 钛空灰 80W超级闪充 5500mAh超大电池 四年久用流畅 5G直屏智能手机120Hz护眼直屏 | 80W超级闪充 | 5500mAh超大电池,¥1399.00, 12GB |256GB |6.67英寸,200+评价,苏宁自营,以旧换新,http://imgservice5.suning.cn/uimg1/b2c/image/-nRmG5sfrk7PC-GBSL-5IA.jpg_400w_400h_4e,http://product.suning.com/0000000000/12432424452.html
华为/HUAWEI Pura70 12GB+512GB 冰晶蓝 超高速风驰闪拍 第二代昆仑玻璃 双超级快充 华为P70智能旗舰手机超高速风驰闪拍 | 第二代昆仑玻璃 | 双超级快充,¥5299.00, 12GB |512GB |6.6英寸,2100+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券3880-200",http://imgservice5.suning.cn/uimg1/b2c/image/Pd33yYTDbPfQs4njj8s2pw.jpg_400w_400h_4e,http://product.suning.com/0000000000/12431535388.html
荣耀200 Pro 月影白 12GB+512GB 骁龙8s 5G芯 5000万影像 100W充电 5200mAh青海湖电池 5G手机,¥3139.00,,20+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券1699-6, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/L9CYLCAIzvTspgGNd1HSEw.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107682082110000000620241016&cmdCode=12432767619&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTI6caQD6eCwZJ1J5Dc0wDxIWvlBHS%2bw8j8yRPRtpVHX8XQAeTUG1bRHMNVWz89T26vVVXuloX3P0QeBFNxk1umnvIVLTeN4mP6%2ftvxM5hLOx25pRvoyeB83KudH0JPAb0ZeXFJ%2fcIVz%2bv2D%2ftLFKG2fhW3L4SXaH7KBT0cy5KQWpAJCjpAEhjUIAv%2fpv8Nv8BdBbaKziX%2fTNVjViG2tzqlrR%2fXXx54csjnGEMawdBGke0a50iQvqMWfQC9CgfTt0BGProGItmAhb7O1q%2bAQpFM2oso2tUQvezjyu7cRlWjv6dLCtq35fwl4MZOdoy9tzUNTj%2b2W6KjXg6fcvNoPPQu%2bwDVt36B4s8ncJ%2fkVVVTWE%2fNIjgWnJ%2fpPtaNyums%2fRLGaQ6TttnImwxwlMekmGDtBO9Q8Lcj5ELOXAkAcvhdvYvK7pCxqpKK2rw2jxHd%2boIhM8989hAJ%2fm2fZbvt740ZCNQdtJfK0Eep%2bLoVU80hhqplc8ieNbySzcZmQVDgRuUpG%2bTyxDUGp%2f4ThGwRGClBBz3rwb9580XHdub6e3Y7kIu6%2fuGKdzVFWQF9ndlVVZe8%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12432767619.html&click_id=H2YaVN20BrumBaJ61000000000KIs6wit98OKgKg8
荣耀畅玩60 Plus 12GB+512GB 幻夜黑 5G全网通智能手机 五星超抗摔 6000mAh超耐用长续航 300%双扬大音量 八核骁龙处理器 5000万主摄 学生 中老年人6000mAh耐用长续航 300%双扬大音量 智慧等效20GB运存(12+8),¥1429.00, 12GB |512GB |6.77英寸,10+评价,苏选自营,"苏宁服务, ,以旧换新",http://imgservice2.suning.cn/uimg1/b2c/image/uAYZoPKh0USnv8McGn8OsA.jpg_400w_400h_4e,http://product.suning.com/0010328208/12433811419.html
小米(mi)MIX Fold 4 16GB+512GB 黑色 小米龙骨转轴2.0 徕卡光学全焦段四摄 5G全网通 AI折叠手机 小米汽车互联超轻薄四曲面机身|小米龙骨转轴2.0|全碳纤维支撑架构|徕卡光学全明星四摄|第三代骁龙8,¥9999.00, 16GB |512GB |7.98英寸,0评价,聚三友手机数码专营店,以旧换新,http://imgservice1.suning.cn/uimg1/b2c/image/0KMhBdqAglQyXXIF56EEow.png_400w_400h_4e,http://product.suning.com/0071593536/12435374163.html
华为/HUAWEI Pura70 北斗卫星消息版 12GB+512GB 羽砂黑 超高速风驰闪拍 第二代昆仑玻璃 双超级快充 华为P70智能旗舰手机超高速风驰闪拍 | 第二代昆仑玻璃 | 双超级快充,¥5399.00, 12GB |512GB |6.6英寸,2100+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券3880-200",http://imgservice4.suning.cn/uimg1/b2c/image/yDaPWKZLv88PZ2HtZcdg4Q.jpg_400w_400h_4e,http://product.suning.com/0000000000/12433837229.html
荣耀Magic6 祁连雪 16GB+256GB 第三代骁龙8旗舰芯 超动态鹰眼主摄 66W快充 巨犀玻璃十倍抗跌 5450mAh电池 5G手机,¥3789.00,,10+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券1699-6, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/q8Pj2-z9X6WrmMAsdIzTcA.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107662892310000000620241016&cmdCode=12426996675&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTK1LMil3Dpn3pGMLN5a3VdJPUc8KU0X%2fHTCQ%2b6%2fgX5oBDwdU%2fKzZkgnIr51Mz5IAeb9B767k3WrUPsk%2fFbNbiD8woYTltYD7bC06EgwRbcECXp0urdxM2B9I%2bordTf%2bHhUAers4zwHOeGd2oBzag0tCRxVRhiNx%2fzL0l8G3jJKEqmsIjGitDar%2bPrHK6NvhNsqF86%2fYCOz5sE6AIF5kSX5pwQTTbUPsqSarifG%2f8c90Sb4U%2fer3yzOEEkig9rG%2bQMAr2nmaIAATpBoiZzX4pHnM1JztfWmL3jHHbWKcxWQ5hmGj2serhApm%2bDknRveW546O58gkX3kn5FqgEiyq5LyeHuV9lSyaSnDefi1jUCyTWBuGborOnbQFJmIA3xQ3c%2bXswtCNC46mr7QA8Rd9CCFcxKcD8MHW48FudKYA%2fyA%2favNkdj%2bqXqGW5l9jpHILJ%2bQuRgPo0l2AAVmcM7xjFKCEOZmYbU4JByxeC%2b4v%2ft4XIZsK7iTVNiz%2fFdJI4noqPaGBsqONwvcey8P7u2NLa1xnnNXJPba0UyIg%2fUgvT7c23f54Tq%2fxIacnabMN6rs8zI4%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12426996675.html&click_id=H2YaVN20BrumBrC21000000000QlLV0LNZkJYjEg8
OPPO K12x 12GB+512GB 钛空灰 80W超级闪充 5500mAh超大电池 四年久用流畅 5G直屏智能手机120Hz护眼直屏 | 80W超级闪充 | 5500mAh超大电池,¥1699.00, 12GB |512GB |6.67英寸,200+评价,苏宁自营,以旧换新,http://imgservice1.suning.cn/uimg1/b2c/image/hpOtbzqBFf-WJu_wUK-JzA.jpg_400w_400h_4e,http://product.suning.com/0000000000/12432425289.html
华为/HUAWEI Pura70 12GB+512GB 北斗卫星消息版 雪域白 超高速风驰闪拍 第二代昆仑玻璃 双超级快充 华为P70智能旗舰手机超高速风驰闪拍 | 第二代昆仑玻璃 | 双超级快充,¥5399.00, 12GB |512GB |6.6英寸,2100+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券3880-200",http://imgservice4.suning.cn/uimg1/b2c/image/0wTlkVSV05QnmjPWZpq3bA.jpg_400w_400h_4e,http://product.suning.com/0000000000/12433837230.html
华为/HUAWEI nova 12 活力版 512GB 12号色 6.88毫米薄潮美直屏 前置6000万超广角人像镜头 后置5000万超感知影像 移动联通电信全网通鸿蒙智能手机6.88mm超薄潮美直屏 | 前置6000万超广角拍照,¥2299.00, 512GB |6.7英寸,1200+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券1880-100",http://imgservice3.suning.cn/uimg1/b2c/image/Ak1Uw8__JWWQYZBvNRKRUQ.jpg_400w_400h_4e,http://product.suning.com/0000000000/12426085821.html
[全新]iQOO Neo8 12GB+256GB 夜岩 一代骁龙8+ 自研芯片V1+ 120W超快闪充 144Hz高刷 5G游戏电竞性能手机,¥2129.00,,100+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券1699-6, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/n7SNbjXmI380UQypmWNryg.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107665360110000000620241016&cmdCode=12410455561&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTLqYoZkcNeV0lZl3aU8MllHAvQ0Gk16fxHfiGf2CClmVuHd2FW%2fVDJ7kO7lCoUc70w8rAyzTz6rWdtdZNJKFgdaR03LsV1eyZHJ6v0PD0Qpka%2fEnjt5MByt8UYcH1leQl176spdoYla4P8rRWvJdUijlmwBDSfXOZGe5ofSS4q6N1rZEImK1AaWBRibErq1U%2bIxr0DitQdpCeITZIuZwCd5Af4cCHA9XvuRLTBU8GJbRm2BfYDrNTWKSbg8KQScoe86U9h5a4Em1MCZNPEpS%2bIZT2KouBZmlpRrsbaI6UNB8mNJcDpA3wb%2b8IvqneAx9%2fKYpRu33FBcQ1Q9KohdxqBg0icSmScdyaC1E%2fI7qsSvI1g%2byjkl5wpLQSTJqFt1VgZp6kisw3%2fBbymhUcwbL2CUILhuGh2Y%2bspnxtNXwYO%2fT7%2fG5VlglvGLS9F6ihgoTP5gKjO%2bUJc0KLU2sBwmlJta8J6pNKkSA%2f9Y4bguibr%2bOGTNC7Lf0OzvXyLzYDlv2S975nkLVyi8SIvFMtycMP%2fA20s2R3piooi3aBcZZ3fCD7EJyDoLueeuVjJ6zov4DCY%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12410455561.html&click_id=H2YaVN20BrumBGW81000000000eqOlZtckwcyUFg8
华为/HUAWEI Mate 60 Pro 12GB+1TB 雅丹黑 移动联通电信全网通智能旗舰手机卫星通话，超可靠玄武架构，全焦段超清影像,¥6899.00, 12GB |1TB |6.82英寸,3400+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券3880-200",http://imgservice1.suning.cn/uimg1/b2c/image/rPN2rfvEXPFEUBEMn64aFQ.jpg_400w_400h_4e,http://product.suning.com/0000000000/12418656221.html
"小米 Redmi Turbo 3 冰钛 12GB+512GB 第三代骁龙8s、疯狂引擎3.0、冰封散热三位一体性能架构,重塑性能格局5g手机第三代骁龙8s芯片；新生代AI旗舰平台；冰封散热三位一体",¥1839.00, 12GB |512GB |6.67英寸,500+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券500-60",http://imgservice4.suning.cn/uimg1/b2c/image/IfUVChmleeu4DIJgmANAEw.png_400w_400h_4e,http://product.suning.com/0000000000/12430713813.html
华为/HUAWEI nova 11 SE前后双高清摄像手机 一亿像素光影人像 512GB 曜金黑 华为鸿蒙智能手机前后双高清摄像手机 一亿像素光影人像,¥1819.00, 512GB |6.67英寸,500+评价,苏宁自营,以旧换新,http://imgservice1.suning.cn/uimg1/b2c/image/4e2tWznRyz7sVG0LajIxmA.png_400w_400h_4e,http://product.suning.com/0000000000/12424671051.html
